Amplitude,Shift,Frequency,Element Ratio,Error
0.1309,0.0,1.0,0.1,0.9813800651017468
0.1309,0.0,1.0,0.31622776601683794,0.9813994098783573
0.1309,0.0,1.0,1.0,0.9814738895560938
0.1309,0.0,1.0,3.1622776601683795,0.9813996978472682
0.1309,0.0,1.0,10.0,0.9813750577794436
0.1309,1.5708,1.0,0.1,0.9846342703969809
0.1309,1.5708,1.0,0.31622776601683794,0.988552454928294
0.1309,1.5708,1.0,1.0,0.9912134806913907
0.1309,1.5708,1.0,3.1622776601683795,0.9884987904255218
0.1309,1.5708,1.0,10.0,0.9845970923472257
0.1309,3.14159,1.0,0.1,0.9877190247349615
0.1309,3.14159,1.0,0.31622776601683794,0.9954339192413544
0.1309,3.14159,1.0,1.0,1.0
0.1309,3.14159,1.0,3.1622776601683795,0.9954750361908292
0.1309,3.14159,1.0,10.0,0.9877381484966453
0.1309,4.71239,1.0,0.1,0.984403058027287
0.1309,4.71239,1.0,0.31622776601683794,0.9881869441321499
0.1309,4.71239,1.0,1.0,0.9908131287756364
0.1309,4.71239,1.0,3.1622776601683795,0.9883151881970873
0.1309,4.71239,1.0,10.0,0.9844968325764233
0.1309,6.28319,1.0,0.1,0.9813800592591356
0.1309,6.28319,1.0,0.31622776601683794,0.981399411722573
0.1309,6.28319,1.0,1.0,0.9814739086308282
0.1309,6.28319,1.0,3.1622776601683795,0.9813997062492348
0.1309,6.28319,1.0,10.0,0.9813748410581323
0.35997,0.0,1.0,0.1,0.9514784154118097
0.35997,0.0,1.0,0.31622776601683794,0.9531084423291032
0.35997,0.0,1.0,1.0,0.9543298446320357
0.35997,0.0,1.0,3.1622776601683795,0.9531081723919161
0.35997,0.0,1.0,10.0,0.9514783361024922
0.35997,1.5708,1.0,0.1,0.959404405072213
0.35997,1.5708,1.0,0.31622776601683794,0.9708061055714798
0.35997,1.5708,1.0,1.0,0.978347472588733
0.35997,1.5708,1.0,3.1622776601683795,0.9706136806191042
0.35997,1.5708,1.0,10.0,0.9595676802736245
0.35997,3.14159,1.0,0.1,0.967705074962653
0.35997,3.14159,1.0,0.31622776601683794,0.989750380558133
0.35997,3.14159,1.0,1.0,1.0
0.35997,3.14159,1.0,3.1622776601683795,0.9898208221797093
0.35997,3.14159,1.0,10.0,0.9678227452853216
0.35997,4.71239,1.0,0.1,0.958874545715169
0.35997,4.71239,1.0,0.31622776601683794,0.9698484964974496
0.35997,4.71239,1.0,1.0,0.9775436721017828
0.35997,4.71239,1.0,3.1622776601683795,0.9702136216213114
0.35997,4.71239,1.0,10.0,0.959231511185608
0.35997,6.28319,1.0,0.1,0.9514784162221395
0.35997,6.28319,1.0,0.31622776601683794,0.953108446290366
0.35997,6.28319,1.0,1.0,0.9543299063985189
0.35997,6.28319,1.0,3.1622776601683795,0.9531081790406661
0.35997,6.28319,1.0,10.0,0.9514783371123742
0.58905,0.0,1.0,0.1,0.9271245397783165
0.58905,0.0,1.0,0.31622776601683794,0.9342206508671349
0.58905,0.0,1.0,1.0,0.9389557569018039
0.58905,0.0,1.0,3.1622776601683795,0.9341542911428447
0.58905,0.0,1.0,10.0,0.9271251319367289
0.58905,1.5708,1.0,0.1,0.9372147872079563
0.58905,1.5708,1.0,0.31622776601683794,0.9564480120629868
0.58905,1.5708,1.0,1.0,0.9698854823149189
0.58905,1.5708,1.0,3.1622776601683795,0.9565556903160511
0.58905,1.5708,1.0,10.0,0.9376850626195499
0.58905,3.14159,1.0,0.1,0.9504077264823848
0.58905,3.14159,1.0,0.31622776601683794,0.9862489318219197
0.58905,3.14159,1.0,1.0,1.0
0.58905,3.14159,1.0,3.1622776601683795,0.9866761713222123
0.58905,3.14159,1.0,10.0,0.950314667573988
0.58905,4.71239,1.0,0.1,0.9365388444055105
0.58905,4.71239,1.0,0.31622776601683794,0.9554068573359553
0.58905,4.71239,1.0,1.0,0.9684944127046773
0.58905,4.71239,1.0,3.1622776601683795,0.9559171128321616
0.58905,4.71239,1.0,10.0,0.9372548062945673
0.58905,6.28319,1.0,0.1,0.927124549537417
0.58905,6.28319,1.0,0.31622776601683794,0.9342205662154864
0.58905,6.28319,1.0,1.0,0.9389557549822806
0.58905,6.28319,1.0,3.1622776601683795,0.9341542978834544
0.58905,6.28319,1.0,10.0,0.9271251565647268
0.81812,0.0,1.0,0.1,0.9097257993804091
